evidence_id,utc,category,artifact_or_observation,sha256_or_identity,size_bytes,result,scope
D21-P3-DIAG-001,2026-09-16T18:29:26Z,runtime_identity,backend exact inspect: 9d9b46c530412e48562b5427a0586b08c1e919ff293ec2cbd1489faffc98615a; image sha256:6342b36fa2cdd2501ea4e0e9fada9a9ffaa4894f0c512f19f822f009e8d63702; /app deploy-main; /data logical active-data root,CURRENT_OBSERVED,,exit 0; 281 ms; no recovery/WIP mount,sanitized fields only; no Env or secrets
D21-P3-DIAG-002,2026-09-16T18:29:26Z,engine_correlation,host and VM proxy request/response for GET /v1.56/containers/<full-id>/json,CURRENT_CORRELATED,,PASS,cause of earlier timeout remains UNKNOWN
D21-P3-DIAG-003,2026-09-16T18:31:02Z,resource_gate,Windows available 7.484 GiB; commit reserve 37.608 GiB; docker-desktop available 15.011 GiB; swap used 0/8 GiB,CURRENT_OBSERVED,,PASS,point-in-time gate; not continuous monitoring
D21-P3-DIAG-004,2026-09-16T18:31:02Z,test_image,R02 pinned image Linux/amd64,sha256:4b12cf0e2501981eff4d7ce6cfd5eb55fcc83ae41bf5561b565e7aa8aed37651,1314265170,PASS,local image only; no pull/build
D21-P3-DIAG-005,2026-09-16T18:34:45Z,preimage_archive,preimage-ddec6ea-backend.tar,93D2A3BA0362A93F0FB657CF113931D366BCC58E83063790E1251422D041412D,5672960,LOCAL_ONLY,tracked backend preimage; not committed
D21-P3-DIAG-006,2026-09-16T18:34:45Z,test_log,guard-container-test.stdout.log,2089DAFB1C5B6E1BEC75581578F87C0D7177AE50406238F9FE14DA9113472930,22956,wrapper exit 0; preimage 2 passed/9 failed; guard 11 passed; auth sentinel pass; version+A4 26 passed; compileall pass,"LOCAL_ONLY; synthetic DB contract fake, not PostgreSQL integration"
D21-P3-DIAG-007,2026-09-16T18:34:45Z,test_log,guard-container-test.stderr.log,086FD2B5907797FB62FD4A5A16835FB7658FF7489FDF8E1C50D3844E526324F1,2115,RECORDED,LOCAL_ONLY; no secret values
D21-P3-DIAG-008,2026-09-16T18:34:45Z,test_container,e9a43bf24c8e3c2979537c6813d1a806b2dfebda8e85a6cd50c551432b52c62c,CURRENT_TEST_RESOURCE,,REMOVED,network none; read-only source/root; no ports/socket/privileged/host PID; post-cleanup No such container
D21-P3-DIAG-009,2026-09-16T18:37:57Z,local_summary,active-diagnosis-summary.md,95EC55E79EBF7A371A513180435EA8220DB167BF3453065778DB85D412C70150,183,LOCAL_ONLY,full sanitized summary mirrored in Git evidence/checkpoint
D21-P3-DIAG-010,2026-09-16T19:59:54Z,runtime_preflight,sanitized-runtime-preflight.json,471DEC4B5CD06A01243DFC2CDD7685EC1DEE4AF4A2AD4EE04EFE9F87D4C7643A,4287,PASS; Docker server 29.8.0; exact backend/Postgres identity and mounts,LOCAL_ONLY; no Env or secret values
D21-P3-DIAG-011,2026-09-16T20:05:33Z,backend_postgres_relation,backend-postgres-relation.json,87D4A8305A3819386E2AA2061F948CFD89B556625F1549A2C47099ED6E0210B4,304,MATCHED_WITHOUT_PERSISTING_VALUES,"LOCAL_ONLY; names/keys only, no values"
D21-P3-DIAG-012,2026-09-16T20:05:34Z,health_boundary,health-probes.json,CF82A4DA47225D18A58C37B7CFFB825FF6FED94C4B339681B0B53817F63E5133,504,backend 200; public gateway 200; public /control 404,LOCAL_ONLY; safe GET only
D21-P3-DIAG-013,2026-09-16T20:03:19Z,postgres_read_execution,postgres-read-execution.json,3CF6DC0E4EDB5B4C7D4EE930AF0E7223B79886F0CEEFABE495869A1DB22A58EA,213,exit 0; 1424 ms; one READ ONLY transaction and ROLLBACK,LOCAL_ONLY; no retry
D21-P3-DIAG-014,2026-09-16T20:03:19Z,postgres_read_log,postgres-read.stdout.log,EA575FADD1537B2BFDAC813F23766E838536CA366DB361869A5DA818FA9B704E,10219,CURRENT_DB_METADATA_OBSERVED_READ_ONLY,"LOCAL_ONLY; sanitized aggregates, no payloads/user rows/query text"
D21-P3-DIAG-015,2026-09-16T20:03:19Z,postgres_filesystem,postgres-filesystem-metadata.log,201386980D5EC9E1472BA64F9DAECC85E98F5E8BA1A528C61A04BCF40FB80111,356,pg_wal and pg_tblspc ordinary directories under PGDATA,LOCAL_ONLY; metadata only
D21-P3-DIAG-016,2026-09-16T20:05:34Z,run_summary,run-summary.json,524393495CD6C10766B535CEF4F1F9DA3427A58401D5F9FE8253F4C4550F2275,783,PASS_READ_ONLY; no requested business-data writes,LOCAL_ONLY; not a global zero-I/O claim
D21-P3-DIAG-017,2026-09-16T20:06:09Z,rollback_review,observation-summary.md,F9E9F3B5D1F5CDC71683328D46AB72E88B32356AAF29ADB401E8B65669BADE07,2936,REVIEW_READY / DATA_FRESHNESS_OWNER_DECISION_REQUIRED,LOCAL_ONLY; large backup artifacts not rehashed
